"acerto_acaso_item","dificuldade_item","discriminacao_item","questao"
"Q1",0.258622852267523,-0.24643569091247,1.82251097081255,1
"Q2",0.133395062658662,1.64706945349698,1.28756029366336,2
"Q3",0.00270837887250875,2.37352758486418,0.304437974886694,3
"Q4",0.00570816924148649,-1.5247948988645,-0.471433563727548,4
"Q5",0.000304323340230246,-2.6097854252252,0.786501287483579,5
"Q6",0.17756362971357,3.33131254955013,0.618460663768587,6
"Q7",0.182628699324943,0.719801288809624,1.94427639930277,7
"Q8",0.25418216083963,0.220345085671696,1.43737346338602,8
"Q9",0.204243352332672,1.66743280928181,1.18625366153663,9
"Q10",0.202804489604731,2.07826775464243,2.34685122063336,10
"Q11",0.00493941135306828,-0.0014889341142426,0.745325991561873,11
"Q12",0.0117071847287869,-0.127572723928288,0.830144900378656,12
"Q13",0.158986096574338,0.543026548897994,1.20216738140469,13
"Q14",0.0989154023027589,1.87177078725294,2.25171928315396,14
"Q15",0.147697163285172,0.623193945564246,1.4640928864749,15
"Q16",0.0937262080501537,2.20094714300763,1.67483025149963,16
"Q17",0.00507957112702818,-0.612487073564232,0.885090599651174,17
"Q18",0.21166740686399,1.81994808549494,1.56993382226941,18
"Q19",0.00636796372469451,2.92826057589036,0.346199326259777,19
"Q20",0.0704413997061633,4.47549784245297,0.197226563518449,20
"Q21",0.00182699323866265,-1.14663867987941,0.973644954993659,21
"Q22",0.0487545832593213,1.58123797862052,2.58885969483108,22
"Q23",0.209451180133865,0.599885778122841,1.56564756867876,23
"Q24",0.000328607834731135,0.0932829591876461,0.629846092707069,24
"Q25",0.160833320613217,0.972769580972947,2.1155544364855,25
"Q26",0.156279074376701,1.97816340650085,1.34468839740511,26
"Q27",0.105698311217724,1.42444617077512,2.92587340239415,27
"Q28",0.223160773222275,0.0199443402699208,1.78950777304556,28
"Q29",0.0178284836214796,0.488647542599546,0.44287873307776,29
"Q30",0.205223818982199,1.60629224864935,1.12793043484813,30
"Q31",0.191584916984385,0.716785333350565,1.84826428479437,31
"Q32",0.0536137405188712,2.76603016703649,0.298761033358691,32
"Q33",9.1100812984884e-05,-0.454530137968664,0.887346872235389,33
"Q34",0.0223032996877352,2.40997278611707,0.430233432987822,34
"Q35",0.0491856989752354,0.459694075193087,1.02428037931682,35
"Q36",1.26405080295449e-05,-1.83378232143793,1.4729403465021,36
"Q37",0.216599130840222,0.15667474763765,1.4910866947431,37
"Q38",0.318528152078966,2.21896590464329,3.09260310534647,38
"Q39",0.00220760170959629,1.18609592404942,0.414751409224812,39
"Q40",0.0060848510318114,0.812766485440887,0.41674491600752,40
"Q41",0.216592012417917,0.101119154177348,2.20219024059724,41
"Q42",2.15437248744152e-05,-1.6291060120803,0.893517382156018,42
"Q43",0.211539497389734,0.903807189879618,1.55621716835021,43
"Q44",0.179369755674012,1.18791044218989,2.15262135079815,44
"Q45",0.132761832005001,0.925703717387531,1.49245182766719,45
