"acerto_acaso_item","dificuldade_item","discriminacao_item","questao"
"Q1",0.110169348052342,1.12173128976444,1.00762241403115,1
"Q2",0.250190586264517,2.32446232173847,1.09198224800818,2
"Q3",0.193336122367311,2.87966327368267,10.1124264851781,3
"Q4",0.00244706543776932,2.03749700771438,0.482452405415781,4
"Q5",0.120587145057499,-5.34670896217909,-0.282198245107289,5
"Q6",7.35855193046769e-05,1.5467182502285,0.747080699167201,6
"Q7",1.05033361272763e-05,2.53047095814263,0.467334438377748,7
"Q8",0.172859666150059,2.61041778053696,3.5376030474212,8
"Q9",0.113999543022885,1.9410366097043,3.32802606711238,9
"Q10",0.143131951322544,2.42445538382057,3.04982728212159,10
"Q11",0.145982212455236,1.24389804650581,0.977818184325615,11
"Q12",0.0159041626237179,0.396034953182758,1.03403769718947,12
"Q13",0.130366392073415,1.27963034757002,2.48012336386028,13
"Q14",0.0228616925989821,0.713197565780162,0.41001448459873,14
"Q15",0.169710132678808,4.33203353606577,0.372180944809946,15
"Q16",0.123226390152111,2.90089124139645,1.04055335703353,16
"Q17",0.122418302212823,4.3189866422736,1.30037490043623,17
"Q18",0.157434896566433,2.2339918967726,3.70303529542999,18
"Q19",0.183881473532149,2.78635896028205,10.4494861288526,19
"Q20",0.256096287071515,2.80100677483285,12.006012510507,20
"Q21",0.0357931184831647,4.9719903581178,0.225257766396664,21
"Q22",0.04130206126749,0.662867843562247,0.261372411468179,22
"Q23",0.345337670290655,1.5866544515182,1.76934636914215,23
"Q24",0.194909586461535,2.18884393516036,1.52609083339409,24
"Q25",0.0662363239464327,2.7707818898525,1.72060183653327,25
"Q26",0.373522469120915,2.21688673358056,2.0791789562384,26
"Q27",0.0797918898591263,2.37046255525368,1.88976184040524,27
"Q28",0.14424865575679,2.67560654243526,3.47042317759325,28
"Q29",0.0899304092414994,1.86025817503408,1.21028488952018,29
"Q30",0.190633618683991,2.82742136945222,2.22360516614552,30
"Q31",0.105360312789085,2.81784500322057,2.07957641277793,31
"Q32",0.0302588312132549,2.35736252311656,0.42275211376007,32
"Q33",0.0730845995461633,1.99895466122534,1.28551725740959,33
"Q34",0.213595043038199,2.81769444155687,3.16652245559094,34
"Q35",0.0678987800051889,-9.79088000306059,-0.164686406054283,35
"Q36",0.1735995534172,10.5603462237371,0.420077225285682,36
"Q37",0.233401847813664,-202.457970805803,-0.0114660096125119,37
"Q38",0.224857721340937,2.37127123961239,4.25782991123764,38
"Q39",0.220865788337274,2.35796946973279,1.85251252822659,39
"Q40",0.194093108457256,2.00422313047938,1.77786687977597,40
"Q41",0.209113209849589,1.87597311114909,1.45940478801345,41
"Q42",0.257849144832229,2.20538699212464,0.747224959583149,42
"Q43",0.0194821388195503,-5.66071996272522,-0.300989120882124,43
"Q44",0.142825843729443,2.49419744506007,4.20928190477365,44
"Q45",0.254955483132494,2.62825983824507,5.12365647407776,45
