"acerto_acaso_item","dificuldade_item","discriminacao_item","questao"
"Q1",0.188810178579603,0.134945921672976,2.16485805247665,1
"Q2",0.127881217245917,1.73537074983141,1.94922120532399,2
"Q3",1.97780019449963e-05,3.12399427407807,0.319973652809223,3
"Q4",1.7675154546375e-05,-1.68062355704376,-0.273921475150386,4
"Q5",9.01794832258727e-07,-1.64235520070875,0.986379032626648,5
"Q6",0.11747994407279,2.65761029571161,0.600358781122785,6
"Q7",0.200332513657319,0.929495563137592,2.03023191628761,7
"Q8",0.187983248482087,0.511324853487054,1.47596942979856,8
"Q9",0.2049843955867,2.00522510460037,1.15690632855265,9
"Q10",0.203947509751254,2.49536371824553,1.81093154338977,10
"Q11",1.03389884628331e-06,0.532542149479606,0.813438972678819,11
"Q12",0.177689033122213,1.05053060413709,1.03792877659256,12
"Q13",0.195547345083073,1.17824508566588,1.20945968931817,13
"Q14",0.117777066553129,2.06335662925154,2.54108592751788,14
"Q15",0.176971573388463,0.892365326762219,1.71616767236701,15
"Q16",0.101313284210719,3.10885848781596,1.58812644802081,16
"Q17",0.138229443594442,0.231546007903975,1.16937297875138,17
"Q18",0.24203379275294,2.07611850561484,1.77277413791948,18
"Q19",3.48150978493756e-05,2.59874073713604,0.41379792508703,19
"Q20",0.00870940023246724,2.69420323834874,0.321822297831147,20
"Q21",4.55315586746809e-06,-0.73681429835862,1.20524971479019,21
"Q22",0.0700201067726311,1.76847954167105,3.42445564282999,22
"Q23",0.248382242095482,1.06118343454282,1.80634891725081,23
"Q24",0.148059881590485,1.11980979165514,1.02806991381747,24
"Q25",0.158422175661073,1.22069805224601,2.85623636765296,25
"Q26",0.139503669665705,2.28077059962805,1.11785822957285,26
"Q27",0.153013715579198,1.50189668086794,4.4200308303317,27
"Q28",0.233359857469961,0.487193629664187,1.72714303648566,28
"Q29",0.000381545550043722,0.961802418536127,0.485572220768307,29
"Q30",0.110372513779989,1.17609247874292,1.04270373788076,30
"Q31",0.17291982948242,1.1532581052414,1.74011151761608,31
"Q32",1.04545704560567e-06,2.41850831673645,0.305680225266213,32
"Q33",0.0107494079285448,-0.0228867772390646,0.833000269777072,33
"Q34",0.135048044839806,2.02145202384976,0.944275212187944,34
"Q35",0.146802939839026,1.01524894749066,1.4472078528802,35
"Q36",6.58339677375429e-09,-1.27966731202668,1.55566652486928,36
"Q37",0.208039676337453,0.847650947464817,2.03969109313656,37
"Q38",0.00238620671186679,4.01378001622201,0.182561489311276,38
"Q39",8.14778982345796e-07,0.951414789734674,0.586730767047687,39
"Q40",3.28868494270009e-06,0.824670200888832,0.505799172103812,40
"Q41",0.216963363234075,0.532952440031423,2.38409543021499,41
"Q42",2.15114025103811e-06,-0.964612540736295,0.959703146664764,42
"Q43",0.198813035021206,1.26045051988087,1.22829864126316,43
"Q44",0.162837924921068,1.40109507652845,2.26286461891474,44
"Q45",0.138499059731095,1.39514185660516,1.5552724677011,45
